
香港,#genre#
TVB翡翠台,https://us.dispatch.ulivetv.net/v/live/cfxp7kxld96o.m3u8?stream_id=cfxp7kxld96o&timestamp=1699439294&rand=RdATdwtyI0&uuid=ghBhFhr1T33AtAXiFevF5z&from=web&sign=a562267645e6d5f571e2a1609eedbb52
TVB J2,https://us.dispatch.ulivetv.net/v/live/cfxrks69bzcw.m3u8?stream_id=cfxrks69bzcw&timestamp=1699439329&rand=oRMVo4aRfw&uuid=85VLEe7p3ZVoFCBfLhPWiw&from=web&sign=97b7a49b3e812e6bf95d30bc184f5ae8
TVB无线新闻台,https://us.dispatch.ulivetv.net/v/live/cfm20xoztyv4.m3u8?stream_id=cfm20xoztyv4&timestamp=1699439296&rand=hf5cfvMMPI&uuid=ptZjfmipw1rEexpQFkuc2j&from=web&sign=19a864a6eee3db705d700a7b778fec88
TVB财经体育资讯台,https://us.dispatch.ulivetv.net/v/live/cu0g45h151kw.m3u8?stream_id=cu0g45h151kw&timestamp=1699439305&rand=ZXicHBm9iP&uuid=gAV1Nkj3swPYZxmhstgioD&from=web&sign=fb2420ef3b7fdd28e934f6ac8d41cf22
TVB明珠台,https://us.dispatch.ulivetv.net/v/live/cfxphafmwyio.m3u8?stream_id=cfxphafmwyio&timestamp=1699439309&rand=K4iy7xIjUp&uuid=6q3M8rCi92LJReCHJng9JV&from=web&sign=c99c149de91f157fa8d7632a8024671a
TVB星河台,https://us.dispatch.ulivetv.net/v/live/cl7c95iovqo0.m3u8?stream_id=cl7c95iovqo0&timestamp=1699439298&rand=eF9TFIrDCe&uuid=nvvy6XC41ejXgQWXMFV1oe&from=web&sign=16e1b49a0b20c86c8c4aa6a04bb530dc
TVB千禧经典台,https://us.dispatch.ulivetv.net/v/live/d24fe2sjnr5s.m3u8?stream_id=d24fe2sjnr5s&timestamp=1699439303&rand=RhlrminUBH&uuid=uPC7Nc3K6U2i7oQ2gWxkiH&from=web&sign=ad08334ae4a4b39f300d3de4c013e3ef
TVB粤语片台,https://us.dispatch.ulivetv.net/v/live/cnv47oyqlmtc.m3u8?stream_id=cnv47oyqlmtc&timestamp=1699439307&rand=suBosi28a0&uuid=2uLQJ8agL9JLThhUwpHWoB&from=web&sign=6318fe74b59250ead5b1482bc9f79215
TVB亚洲剧台,https://us.dispatch.ulivetv.net/v/live/cnyy2jy9gdds.m3u8?stream_id=cnyy2jy9gdds&timestamp=1699439311&rand=3PGdQbp4YL&uuid=7S2XkhNoVkkfXK1U1gZHtv&from=web&sign=7d4074fba088924e01116a978a881fcb
TVB华语剧台,https://us.dispatch.ulivetv.net/v/live/ciw8gobsylds.m3u8?stream_id=ciw8gobsylds&timestamp=1699439313&rand=s05eOUvHxP&uuid=fp36LwcY41hqC4HsGLsi3k&from=web&sign=6fc1822e5865959982ab4b0079410a05
Now爆谷台,https://hls.ulivetv.net/v/live/d9w0ch4ryrk0.m3u8?stream_id=d9w0ch4ryrk0&timestamp=1705471412&rand=NzQHu4ajI5&uuid=k8DG9hoSfjFq8mUSkd6be9&from=web&sign=f52d537c737e3b5f5bde9a01b7326d01&stream_id=d9w0ch4ryrk0
