央视,#genre#
CCTV-1 综合,https://hls.ulivetv.net/v/live/d82eqs5kk4cg.m3u8?stream_id=d82eqs5kk4cg&timestamp=1705539785&rand=B1TMQnkthf&uuid=fRR9gZxWV7RffkmsYyP671&from=web&sign=e9a7babd076c0d9d8b613324e4138fee&stream_id=d82eqs5kk4cg
CCTV-2 财经,https://hls.ulivetv.net/v/live/d82er8dpbbb4.m3u8?stream_id=d82er8dpbbb4&timestamp=1705539786&rand=9oA8eFQKVn&uuid=k6Nsw9BFaWUh4qEMk9wcuw&from=web&sign=80d07ef116e37b31bc407f188dbbaca5&stream_id=d82er8dpbbb4
CCTV-3 综艺,https://hls.ulivetv.net/v/live/d82hnxhvo3k0.m3u8?stream_id=d82hnxhvo3k0&timestamp=1705539787&rand=oVAoiLhRMQ&uuid=x6JykSfYUjJFYWpLNcXkJV&from=web&sign=1b2590cead1900b49e268177793270f6&stream_id=d82hnxhvo3k0
CCTV-4 中文国际,https://hls.ulivetv.net/v/live/d82horji79q8.m3u8?stream_id=d82horji79q8&timestamp=1705539788&rand=3tOolbLcxe&uuid=pxyw5H5HxT1WHoUAu6AFJf&from=web&sign=b37a02461f9f40628275a475605b00ef&stream_id=d82horji79q8
CCTV-5 体育,https://hls.ulivetv.net/v/live/d82hq9e7w740.m3u8?stream_id=d82hq9e7w740&timestamp=1705539789&rand=h0rCylPtqK&uuid=7wNasTutqa39ANoMNy1D3x&from=web&sign=1711a890315c5961bcfe78ef40a5fd4c&stream_id=d82hq9e7w740
CCTV-6 电影,https://hls.ulivetv.net/v/live/d82inyq4txj4.m3u8?stream_id=d82inyq4txj4&timestamp=1705539789&rand=hEcHIBbZ5F&uuid=vqETs5EQiDgJpAez2yfd1u&from=web&sign=9dc7f453c702c5a0d01c57b5a115ab81&stream_id=d82inyq4txj4
CCTV-7 国防军事,https://hls.ulivetv.net/v/live/d82ipu6fmeps.m3u8?stream_id=d82ipu6fmeps&timestamp=1705539790&rand=JDVhaNwmfM&uuid=ruHAWrSxXi2m88puEEXP3r&from=web&sign=ed70b6464bdc6e4b9e8f3184ab53dd08&stream_id=d82ipu6fmeps
CCTV-8 电视剧,https://hls.ulivetv.net/v/live/d82ipacdncao.m3u8?stream_id=d82ipacdncao&timestamp=1705539791&rand=xEVcSnrOit&uuid=qqMBW7Kn9mgFDRZU6XNAiq&from=web&sign=5a12825124e55a5e4bdab6020cf1a8a3&stream_id=d82ipacdncao
CCTV-9 纪录,https://hls.ulivetv.net/v/live/d82iqcohjpxc.m3u8?stream_id=d82iqcohjpxc&timestamp=1705539792&rand=LFtWmbVhQr&uuid=gaBnJBtAHcmfvspcn4AXiN&from=web&sign=4b030627810637832d74276a29484f78&stream_id=d82iqcohjpxc
CCTV-10 科教,https://hls.ulivetv.net/v/live/d82iqvopqfpc.m3u8?stream_id=d82iqvopqfpc&timestamp=1705539793&rand=pf89D67Gtc&uuid=wRGaoPNKUecdQu2azS1QjQ&from=web&sign=b5f8fed0625af891492664b089a8e8c1&stream_id=d82iqvopqfpc
